product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
Excellence Noir Intense 70% Cacao,Lindt,"Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",2350,24,30,0.02,9.5,0,0,25,E,29,E,https://world.openfoodfacts.org/product/3046920022651
Dark chocolate,Green and black,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs",2530,30,13.9,0.131,10,12.8,0,15,D,55,C,https://world.openfoodfacts.org/product/7622210584724
Excellence Noir Puissant 85% Cacao,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette",2418,27,15,0.02,12.5,0,0,21,E,29,E,https://world.openfoodfacts.org/product/3046920022606
Fourrés Chocolat Noir,Bjorg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits",1996,6.3,27,0.49,7.6,5.2,0,18,D,70,B,https://world.openfoodfacts.org/product/3229820100234
Tuc Original,"LU,Mondelēz,Tuc","Imbiss,Salzige Snacks,Vorspeisen,en:Biscuits and crackers,Crackers",2017,9,7.1,1.7,8.3,2.4,0,24,E,62,B,https://world.openfoodfacts.org/product/5410041001204
70% chocolate,Lindt & Sprüngli,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar with more than 70% cocoa,Extra fine dark chocolates",2370,24,30,0.00005,9.5,0,0,25,E,29,E,https://world.openfoodfacts.org/product/3046920028004
Pomme 🍏 🍎 Noisette🥜,Gerblé,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits",1902,1.5,11,0.01,9.8,6.6,5.3,1,B,70,B,https://world.openfoodfacts.org/product/3175681851849
Excellence 85% Cacao Rich Dark,Lindt,"Lanches comida,Lanches doces,Cacau e derivados,Chocolates,Chocolates amargos,en:Dark chocolate bar with more than 70% cocoa,en:Extra fine dark chocolates",2420,27,15,0.0125,12.5,15,0,16,D,26,E,https://world.openfoodfacts.org/product/3046920028363
Nutella,Ferrero,"Snacks,Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",2231,10.67,56,1.07,6,0,0,36,E,30,D,https://world.openfoodfacts.org/product/80176800
Figue & son,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au son de blé,Biscuits au son de blé et la figue",1883,1.7,16,0.19,9.3,13,5.1,2,B,60,B,https://world.openfoodfacts.org/product/3251490332080
Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar with more than 70% cocoa",2397,30,1,0.7,14,0,0,20,E,24,E,https://world.openfoodfacts.org/product/3046920028721
Nestlé Dessert,Nestlé,"Snacks, Desserts, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Dark chocolate bar for cooking with more than 40% cocoa",2285,20.2,46.4,0.01,6,7.3,0,25,E,43,D,https://world.openfoodfacts.org/product/7613035040823
Pains au lait x10,Pasquier,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au lait",1485,4,11,0.00275,8.6,3.5,0,6,C,71,B,https://world.openfoodfacts.org/product/3256540000698
Chocolat au lait,Milka,"snacks, snacks-sucrés, cacao-et-dérivés, chocolats, chocolats-au-lait, tablette-de-chocolat-au-lait, en:cacao-et-dérivés, es:chocolates-con-leche, fr:chocolats, fr:chocolats-au-lait, en:snacks-sucrés",2255,19,55,0.275,6.5,2.3,0,32,E,26,E,https://world.openfoodfacts.org/product/3045140105502
Brioche Tranchée Bio 400g,La Boulangère,"Snacks,Breakfasts,Sweet snacks,Sweet pastries and pies,Viennoiseries,Brioches,Pure butter brioche,fr:Brioches tranchées",1413,0.9,13,0.95,8.8,3.9,0,10,C,69,B,https://world.openfoodfacts.org/product/3284230006408
Bio Chocolat Noir 70%,LIDL,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",2393,25,28,0.01,8.5,11.1,0,20,E,53,C,https://world.openfoodfacts.org/product/40896243
Fruit & Nut Mix,"Alesto,Lidl","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Snacks, Dried products, Fruits based foods, Dried plant-based foods, Dried fruits, Dried mixed fruits, Mix of grains and dried fruit, Mix of grains and raisins, Nuts with dried fruits",2110,3,35.7,0.02,10.8,6.9,50,13,D,38,D,https://world.openfoodfacts.org/product/20815394
La gâche tranchée,La Fournée Dorée,"Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Brioches",1434,7.4,13,1.12,8.1,0,0,19,E,49,C,https://world.openfoodfacts.org/product/3587220002252
Excellence Noir Subtil Doux 70% Cacao,Lindt Excellence,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar with more than 70% cocoa, en:extra-fine-dark-chocolates",2528,29,29,0.01,6.9,0,0,25,E,29,E,https://world.openfoodfacts.org/product/3046920029780
